Brouwer,Naam,Soort,Percentage,Untappd Rating,Aantal Ratings
SOFIA ELECTRIC,KISEL: DRACONFRUIT S PASSIONFRIJIT ,sour ale with dragon fruits passionfruit,3.6%,NA,NA
SOFIA ELECTRIC,KISEL: CUCUMBER & JUNPIER,Sour ale with cucumber &juniper berries ,4%,3.997,299
SOFIA ELECTRIC, OVERFLOW SQUARED (2026),Double NEIPA,8.4%,4.157,89
SOFIA ELECTRIC,TINY ROOM,Double NEIPA,8.4%,4.043,74
SOMA, SOULFUL,NEIPA,6%,3.948,538
SOMA,CROSSBAR,Double NEIPA,8%,4.200,273
SOMA,NEURO,Double NEIPA,8%,4.069,1033
SOMA,INDIGO,Triple NEIPA,10%,4.145,64
LA SOURCE,VIPERE,sour IPA,6%,3.704,1401
LA SOURCE,INKT,Black IPA,6%,3.871,116
LA SOURCE,ULTRA VENERE,Imperial chili S lime sour ale,8%,3.716,90
LA SOURCE,MOTORMOUTH,Cocoa 8 Palo Santo wood stout,8%,3.804,148
THIRD MOON,DEPRAVER,NEIPA,6.5%,4.142,146
THIRD MOON,TRIPLE GORDIE MORTIS,Triple NEPA,10.5%,4.337,243
THIRD MOON,BONE TREE ,Sextuple Dry Hopped Quadruple NEIPA,10.9%,4.202,225
THIRD MOON,BIRTHDAY BESTOWED (2026) ,Imperial pastry Stout With chocolate cake ,11.5%,NA,NA
TOTENHOPFEN,DRIFT - SMOOTHIE SOUR SERIES,"Lychee, peach, passionfruit, coconut etc ",5%,NA,NA
TOTENHOPFEN,SUMMER BREEZE,White chocolate session IPA,5.5%,NA,NA
TOTENHOPFEN,DRAFT TALES,New wit IPA,5.5%,3.691,17
TOTENHOPFEN,MOO'S SABOTAGE,Dulce de leche imperial stout,10.5%,3.725,110
TULETORN,MAHAVISHNU,Mango lassi peanut butter masala sour,4.5%,3.804,313
TULETORN,PAPILLON,Passionfruit-vanilla sour, 5.2%,3.685,88
TULETORN,PAVLOVA PESAKOND,Smoothie sour passionfruit/kiwi/strawb., 6.5%,4.041,354
TULETORN,LUFTKUSS,Triple NEIPA ,10.5%,3.821,348
UNCHARTED,THE AMAZING HOP-MAN,TDH Session NEIPA,3.9%,3.814,58
UNCHARTED,REALITY CAN WAIT,DDH New Zealand NEIPA,6.2%,NA,NA
UNCHARTED,SOMETIMES THE DECISION MAKES YOU,Mountain IPA,7.1%,3.872,81
UNCHARTED,TOP-TIER,DOUBLE NEIPA, 7.8%,NA,NA
VAULT CITY,GRAPE SODA,Grape soda sour ale,5.5%,3.806,398
