Brouwer;Naam;Soort;Percentage
THIRD MOON;BIRTHDAY BESTOWED (2026) ;Imperial pastry Stout With chocolate cake ;11.5%
TOTENHOPFEN;DRIFT - SMOOTHIE SOUR SERIES;Lychee, peach, passionfruit, coconut etc ;5%
TOTENHOPFEN;SUMMER BREEZE;White chocolate session IPA;5.5%
TOTENHOPFEN;DRAFT TALES;New wit IPA;5.5%
TOTENHOPFEN;MOO'S SABOTAGE;Dulce de leche imperial stout;10.5%
TULETORN;MAHAVISHNU;Mango lassi peanut butter masala sour;4.5%
TULETORN;PAPILLON;Passionfruit-vanilla sour; 5.2%
TULETORN;PAVLOVA PESAKOND;Smoothie sour passionfruit/kiwi/strawb.; 6.5%
TULETORN;LUFTKUSS;Triple NEIPA ;10.5%
UNCHARTED;THE AMAZING HOP-MAN;TDH Session NEIPA;3.9%
UNCHARTED;REALITY CAN WAIT;DDH New Zealand NEIPA;6.2%
UNCHARTED;SOMETIMES THE DECISION MAKES YOU;Mountain IPA;7.1%
UNCHARTED;TOP-TIER;DOUBLE NEIPA; 7.8%
VAULT CITY;GRAPE SODA;Grape soda sour ale;5.5%
VAULT CITY;APPELTJES VAN ORANJE;Apples S oranges sour ale;6%
VAULT CITY;BRAIWELTING LIQUID;lemon and lime juice, sherbert sour ale;6.8%
VAULT CITY;PUNCH: MANDARIN, MANGO & PINEAPPLE;Fruit punch sour;7%
VAULT CITY;VERDANT Penryn, United Kingdom MARYLOU;NEW ENGLAND PALE ALE;5.2%
VAULT CITY;MARYLOU;NEW ENGLAND PALE ALE;5.2%
VAULT CITY;A MILLION RIPPLES;NE-IPA;6.5%
VAULT CITY;TENDER THORNS;NEPA;6.5%
VAULT CITY;KING OF MAY;Triple NEIPA;10%
WALHALLA;UTU;Session IPA;4.1%
WALHALLA;APHRODITE;Raspberry sour;4.5%
WALHALLA;NABIJ;Mango IPA;6%
WALHALLA;TRITON;DDH IPA;6.8%
